,Insect,Plant_Combinations,Mean_Season1,Mean_Season2,Mean_Season3,StdError_Season1,StdError_Season2,StdError_Season3
1,Aphid,AgerBot,0.0625,0,0.375,0.002862118,0.004972816,0.002424951
2,Aphid,AgerBot,0.375,0,0,0.002862118,0.004972816,0.002424951
3,Aphid,AgerBot,0.0625,0,0,0.002862118,0.004972816,0.002424951
4,Aphid,AgerBot,0.0625,0,0,0.002862118,0.004972816,0.002424951
5,Aphid,Agerwater,0.0625,0.75,0.625,0.002862118,0.004972816,0.002424951
6,Aphid,Agerwater,0.4375,0.5,0.55,0.002862118,0.004972816,0.002424951
7,Aphid,Agerwater,0.125,0.75,0,0.002862118,0.004972816,0.002424951
8,Aphid,Agerwater,0.1875,0.625,0,0.002862118,0.004972816,0.002424951
9,Aphid,Agerattack,0.3125,1,0.375,0.002862118,0.004972816,0.002424951
10,Aphid,Agerattack,0.175,0.5,0.075,0.002862118,0.004972816,0.002424951
11,Aphid,Agerattack,0.3125,0,0.5,0.002862118,0.004972816,0.002424951
12,Aphid,Agerattack,0.125,0,0,0.002862118,0.004972816,0.002424951
13,Aphid,CymbBot,0.1875,0.75,0.25,0.002862118,0.004972816,0.002424951
14,Aphid,CymbBot,0.0625,0.5,0,0.002862118,0.004972816,0.002424951
15,Aphid,CymbBot,0.0625,0.25,0.25,0.002862118,0.004972816,0.002424951
16,Aphid,CymbBot,0.0625,0.25,0,0.002862118,0.004972816,0.002424951
17,Aphid,Cymbwater,0.1675,0.5,0.375,0.002862118,0.004972816,0.002424951
18,Aphid,Cymbwater,0,0.25,0.125,0.002862118,0.004972816,0.002424951
19,Aphid,Cymbwater,0.125,0.5,0.125,0.002862118,0.004972816,0.002424951
20,Aphid,Cymbwater,0,0.25,0,0.002862118,0.004972816,0.002424951
21,Aphid,Cymbattack,0,0.5,0,0.002862118,0.004972816,0.002424951
22,Aphid,Cymbattack,0,0.5,0.25,0.002862118,0.004972816,0.002424951
23,Aphid,Cymbattack,0,0.5,0.1,0.002862118,0.004972816,0.002424951
24,Aphid,Cymbattack,0,0.25,0,0.002862118,0.004972816,0.002424951
25,Aphid,LantBot,0.22,0.25,0.225,0.002862118,0.004972816,0.002424951
26,Aphid,LantBot,0.095,0.5,0.1,0.002862118,0.004972816,0.002424951
27,Aphid,LantBot,0.0625,0.5,0,0.002862118,0.004972816,0.002424951
28,Aphid,LantBot,0,0,0,0.002862118,0.004972816,0.002424951
29,Aphid,Lantwater,0.1275,0.25,0.45,0.002862118,0.004972816,0.002424951
30,Aphid,Lantwater,0.065,0.25,0.1,0.002862118,0.004972816,0.002424951
31,Aphid,Lantwater,0.0325,0,0.0625,0.002862118,0.004972816,0.002424951
32,Aphid,Lantwater,0.0325,0,0,0.002862118,0.004972816,0.002424951
33,Aphid,Lantattack,0.1875,1,0.35,0.002862118,0.004972816,0.002424951
34,Aphid,Lantattack,0,1,0.25,0.002862118,0.004972816,0.002424951
35,Aphid,Lantattack,0.0625,1,0,0.002862118,0.004972816,0.002424951
36,Aphid,Lantattack,0,0.25,0,0.002862118,0.004972816,0.002424951
37,Aphid,TalBot,0.125,0,0,0.002862118,0.004972816,0.002424951
38,Aphid,TalBot,0.125,0,0,0.002862118,0.004972816,0.002424951
39,Aphid,TalBot,0.125,0,0.25,0.002862118,0.004972816,0.002424951
40,Aphid,TalBot,0.0625,0,0.375,0.002862118,0.004972816,0.002424951
41,Aphid,Talwater,0.0625,0,0.1,0.002862118,0.004972816,0.002424951
42,Aphid,Talwater,0.0625,0,0.1,0.002862118,0.004972816,0.002424951
43,Aphid,Talwater,0.0625,0,0,0.002862118,0.004972816,0.002424951
44,Aphid,Talwater,0,0,0,0.002862118,0.004972816,0.002424951
45,Aphid,Talattack,0,0,0.25,0.002862118,0.004972816,0.002424951
46,Aphid,Talattack,0,0,0.0625,0.002862118,0.004972816,0.002424951
47,Aphid,Talattack,0.125,0,0.0625,0.002862118,0.004972816,0.002424951
48,Aphid,Talattack,0,0,0,0.002862118,0.004972816,0.002424951
49,Aphid,TriBot,0,1,0.25,0.002862118,0.004972816,0.002424951
50,Aphid,TriBot,0.0625,0.75,0,0.002862118,0.004972816,0.002424951
51,Aphid,TriBot,0.125,0.5,0,0.002862118,0.004972816,0.002424951
52,Aphid,TriBot,0,0,0,0.002862118,0.004972816,0.002424951
53,Aphid,Triwater,0.0625,0,0.1625,0.002862118,0.004972816,0.002424951
54,Aphid,Triwater,0.0625,0,0.25,0.002862118,0.004972816,0.002424951
55,Aphid,Triwater,0.125,0,0.25,0.002862118,0.004972816,0.002424951
56,Aphid,Triwater,0.0625,0,0.125,0.002862118,0.004972816,0.002424951
57,Aphid,Triattack,0,0,0,0.002862118,0.004972816,0.002424951
58,Aphid,Triattack,0.0625,0,0,0.002862118,0.004972816,0.002424951
59,Aphid,Triattack,0,0,0,0.002862118,0.004972816,0.002424951
60,Aphid,Triattack,0,0,0,0.002862118,0.004972816,0.002424951
61,Aphid,CrotBot,0.3125,0.75,0.125,0.002862118,0.004972816,0.002424951
62,Aphid,CrotBot,0,0.5,0.5,0.002862118,0.004972816,0.002424951
63,Aphid,CrotBot,0.0625,0.75,0.375,0.002862118,0.004972816,0.002424951
64,Aphid,CrotBot,0.3125,0.25,0.125,0.002862118,0.004972816,0.002424951
65,Aphid,Crotwater,0.5625,0.75,0.7,0.002862118,0.004972816,0.002424951
66,Aphid,Crotwater,0.5,0.75,0.25,0.002862118,0.004972816,0.002424951
67,Aphid,Crotwater,0.875,0.25,0.1,0.002862118,0.004972816,0.002424951
68,Aphid,Crotwater,0.4375,0.25,0.1,0.002862118,0.004972816,0.002424951
69,Aphid,Crotattack,0.25,0.25,0.5,0.002862118,0.004972816,0.002424951
70,Aphid,Crotattack,0,0.25,0.5,0.002862118,0.004972816,0.002424951
71,Aphid,Crotattack,0,0,0.375,0.002862118,0.004972816,0.002424951
72,Aphid,Crotattack,0,0,0.25,0.002862118,0.004972816,0.002424951
73,Aphid,Nopwater,0.625,1.5,0.625,0.002862118,0.004972816,0.002424951
74,Aphid,Nopwater,0.8125,1,0.6,0.002862118,0.004972816,0.002424951
75,Aphid,Nopwater,1.25,1.25,0.5,0.002862118,0.004972816,0.002424951
76,Aphid,Nopwater,0.75,1.5,0,0.002862118,0.004972816,0.002424951
77,Aphid,Nopattack,0,1,0.25,0.002862118,0.004972816,0.002424951
78,Aphid,Nopattack,0.25,0.75,0.125,0.002862118,0.004972816,0.002424951
79,Aphid,Nopattack,0.25,0,0.25,0.002862118,0.004972816,0.002424951
80,Aphid,Nopattack,0,0,0,0.002862118,0.004972816,0.002424951
