,Insect,Mean_Week1,Mean_Week2,Mean_Week3,Mean_Week4,Season
1,DBM,0.13125,0.2875,0.125,0.1625,1
2,DBM,0.25,0.25,0.5625,0.7125,2
3,DBM,0.25,0.225,0.475,0.5625,3
4,Aphid,0.12675,0.190625,0.140875,0.1625,1
5,Aphid,0.2375,0.275,0.45625,0.4375,2
6,Aphid,0,0.1875,0.259375,0.253125,3
7,Whitefly,1.653125,0.175,0,0,1
8,Whitefly,1.825,0.2125,0,0.05,2
9,Whitefly,20.00875,2.643125,0.53625,0.0875,3
10,Hellula,0.1625,0.1625,0,0.15,1
11,Hellula,0.1625,0.075,0,0.1375,2
12,Hellula,0,0.1,0.11875,0.05,3
13,Spider,0.10625,0.1875,NA,0.1125,1
14,Spider,0.1,0.1,0.65,0.075,2
15,Spider,0.725,0.56875,0.76875,0.35,3
16,Ladybird,0.075,0.0875,0.3125,0.2,1
17,Ladybird,0.05,0,0.1375,0.175,2
18,Ladybird,0.275,0.4125,0.3875,0.125,3
19,Hoverfly,0,0.0625,0,0.05,1
20,Hoverfly,0,0.075,0,0.05,2
